Suffixe non reconnu;Vu chez idealo;Vu sur MON site;Verdict;Préfixes concernés;Exemple
PLPTA;1;0;vu SEULEMENT chez idealo — a confirmer;DXV;DXV23PLPTA
FNT;1;0;vu SEULEMENT chez idealo — a confirmer;DCG;DCG405FNT-XJ
VSNT;1;0;vu SEULEMENT chez idealo — a confirmer;DCG;DCG409VSNT-XJ
HNT;1;0;vu SEULEMENT chez idealo — a confirmer;DCF;DCF899HNT-XJ
XR;1;0;vu SEULEMENT chez idealo — a confirmer;DCS;DCS391XR
TWIN;1;0;vu SEULEMENT chez idealo — a confirmer;DWE;DWE494TWIN
M2TA;1;0;vu SEULEMENT chez idealo — a confirmer;DCD;DCD777M2TA
HN;1;0;vu SEULEMENT chez idealo — a confirmer;DCF;DCF899HN-XJ
CGTRI;1;0;vu SEULEMENT chez idealo — a confirmer;DW;DW088CGTRI
SDT;1;0;vu SEULEMENT chez idealo — a confirmer;DWE;DWE492SDT-QS
GA;1;0;vu SEULEMENT chez idealo — a confirmer;DXV;DXV23GA
KPOL;1;0;vu SEULEMENT chez idealo — a confirmer;DW;DW088KPOL
YP2T;1;0;vu SEULEMENT chez idealo — a confirmer;DCD;DCD100YP2T
VE;1;0;vu SEULEMENT chez idealo — a confirmer;DXCMS;DXCMS2550VE
KR;1;0;vu SEULEMENT chez idealo — a confirmer;DWE;DWE576KR-QS
SHDN;1;0;vu SEULEMENT chez idealo — a confirmer;DCG;DCG418SHDN-XJ
HP1T;1;0;vu SEULEMENT chez idealo — a confirmer;DCF;DCF899HP1T
P2X;1;0;vu SEULEMENT chez idealo — a confirmer;DCH;DCH133P2X
D2TA;1;0;vu SEULEMENT chez idealo — a confirmer;DCD;DCD778D2TA
HP2;1;0;vu SEULEMENT chez idealo — a confirmer;DCF;DCF899HP2-QW
SM;1;0;vu SEULEMENT chez idealo — a confirmer;DPN;DPN9033SM
DTS;1;0;vu SEULEMENT chez idealo — a confirmer;DXPW;DXPW001DTS
MK;1;0;vu SEULEMENT chez idealo — a confirmer;DCV;DCV586MK-XJ
KTR;1;0;vu SEULEMENT chez idealo — a confirmer;DWS;DWS520KTR
VST1;1;0;vu SEULEMENT chez idealo — a confirmer;DCG;DCG409VST1
WW1T;1;0;vu SEULEMENT chez idealo — a confirmer;DCD;DCD1007WW1T
P3K;1;0;vu SEULEMENT chez idealo — a confirmer;DCD;DCD791P3K
P3A;1;0;vu SEULEMENT chez idealo — a confirmer;DCD;DCD791P3A-QW
P2B;1;0;vu SEULEMENT chez idealo — a confirmer;DCD;DCD792P2B
NB;1;0;vu SEULEMENT chez idealo — a confirmer;DCE;DCE800NB-XJ
RNN;1;0;vu SEULEMENT chez idealo — a confirmer;DCN;DCN45RNN
DCD;1;0;vu SEULEMENT chez idealo — a confirmer;DCMHT;DCMHT563DCD-QW
RNNT;1;0;vu SEULEMENT chez idealo — a confirmer;DCN;DCN45RNNT-XJ
RS;1;0;vu SEULEMENT chez idealo — a confirmer;DWE;DWE7485RS-QS
RND2;1;0;vu SEULEMENT chez idealo — a confirmer;DCN;DCN45RND2-QW
MKIT;1;0;vu SEULEMENT chez idealo — a confirmer;DWV;DWV905MKIT-QS
T2R;1;0;vu SEULEMENT chez idealo — a confirmer;DCS;DCS520T2R
D1GS;1;0;vu SEULEMENT chez idealo — a confirmer;DCE;DCE080D1GS-QW
X3HD;1;0;vu SEULEMENT chez idealo — a confirmer;FVK;FVK381X3HD-QW
LR;1;0;vu SEULEMENT chez idealo — a confirmer;DCB;DCB184LR
N-XJ;0;1;vu SEULEMENT sur mon site — vient de mon fournisseur;DCMPH;DCMPH566N-XJ-XJ
RB;0;1;vu SEULEMENT sur mon site — vient de mon fournisseur;DCLE;DCLE14201RB-XJ
PL;0;1;vu SEULEMENT sur mon site — vient de mon fournisseur;DW;DW055PL-XJ
G12Z;0;1;vu SEULEMENT sur mon site — vient de mon fournisseur;DNPT;DNPT3190G12Z
R63G12Z;0;1;vu SEULEMENT sur mon site — vient de mon fournisseur;DNPT;DNPT28R63G12Z
R90E;0;1;vu SEULEMENT sur mon site — vient de mon fournisseur;DNW;DNW31R90E
R90G12Z;0;1;vu SEULEMENT sur mon site — vient de mon fournisseur;DNPT;DNPT31R90G12Z
R63G12E;0;1;vu SEULEMENT sur mon site — vient de mon fournisseur;DNW;DNW28R63G12E
R45E;0;1;vu SEULEMENT sur mon site — vient de mon fournisseur;DNN;DNN20R45E
R40GZ;0;1;vu SEULEMENT sur mon site — vient de mon fournisseur;DNM;DNM40R40GZ
GZ;0;1;vu SEULEMENT sur mon site — vient de mon fournisseur;DNR;DNR3125GZ
QZ;0;1;vu SEULEMENT sur mon site — vient de mon fournisseur;DT;DT4358QZ
SET;0;1;vu SEULEMENT sur mon site — vient de mon fournisseur;DWA;DWA427SET
SE;0;1;vu SEULEMENT sur mon site — vient de mon fournisseur;DSTSX;DSTSX35SE
/8;0;1;vu SEULEMENT sur mon site — vient de mon fournisseur;D;D125/8
FFMLP3;0;1;vu SEULEMENT sur mon site — vient de mon fournisseur;DXIR;DXIR1FFMLP3
R70S316E;0;1;vu SEULEMENT sur mon site — vient de mon fournisseur;DNF;DNF25R70S316E
N-SFXJ;0;1;vu SEULEMENT sur mon site — vient de mon fournisseur;DCF;DCF787N-SFXJ
W;0;1;vu SEULEMENT sur mon site — vient de mon fournisseur;QT;QT960W
BC;0;1;vu SEULEMENT sur mon site — vient de mon fournisseur;DCB;DCB283BC
LRT;0;1;vu SEULEMENT sur mon site — vient de mon fournisseur;P;P2LRT
WP2T;0;1;vu SEULEMENT sur mon site — vient de mon fournisseur;XR;XR2WP2T
M100HE;0;1;vu SEULEMENT sur mon site — vient de mon fournisseur;DXCMB;DXCMB3M100HE
T200HE;0;1;vu SEULEMENT sur mon site — vient de mon fournisseur;DXCMB;DXCMB4T200HE
T271HCE;0;1;vu SEULEMENT sur mon site — vient de mon fournisseur;DXCMB;DXCMB55T271HCE
T270HCE;0;1;vu SEULEMENT sur mon site — vient de mon fournisseur;DXCMB;DXCMB75T270HCE
