Famille;Rayon;Titre;Prix idealo (€);Raison
Quincaillerie;foret;Foret hélicoïdal pour perceuse avec hélice en carbure de tungstène de haute qualité, emmanchement SDS Plus DEWALT - Ø20 ;128,90;aucune reference lisible dans le titre
Quincaillerie;;DEWALT Streifennagel 34Gr. Glatt 80mm 2200Stk;135,20;aucune reference lisible dans le titre
Quincaillerie;coffret;Pack de 4 valises DeWALT TSTAK VI;145,00;aucune reference lisible dans le titre
Quincaillerie;;DEWALT Diamant-Nassbohrkrone 82x400mm 1 1/4Z;155,99;aucune reference lisible dans le titre
Quincaillerie;coffret;DeWalt Toughsystem Chariot à roulettes Transp charge max. 150 kg (1-70-324);160,43;aucune reference lisible dans le titre
Quincaillerie;visserie;DEWALT DEWALT Clou à bande DNPT 3,1 x 90 mm 33° Anneau Galvanisé Quantité:2000;162,98;aucune reference lisible dans le titre
Quincaillerie;;"Spachtel DeWalt 2-924; 609 6 mm";167,80;aucune reference lisible dans le titre
Quincaillerie;coffret;DeWALT TSTAK VI - Étui rigide pour boîte à outils G;172,06;aucune reference lisible dans le titre
Quincaillerie;;"DEWALT Combination Wrench 1 1/2"" SAE";174,67;aucune reference lisible dans le titre
Quincaillerie;coffret;Cutii de transport si depozitare DeWALT TSTAK McLaren Edition 3 in 1;175,00;aucune reference lisible dans le titre
Quincaillerie;coffret;DEWALT Scie Sabre Électrique avec Vitesse Variable et Coffret de Transport + DEWALT Lame pour Scies Sabre, Argent, Set d;181,20;aucune reference lisible dans le titre
Quincaillerie;burin;Pointes en bande papier 33° crantées - inox - 2,8 x 63 mm - par 1200 DEWALT;184,90;aucune reference lisible dans le titre
Quincaillerie;;DeWALT Dwa7889 100 dents de coupe Aluminium 2,5 cm Tonnelle, 35,6 cm;185,75;aucune reference lisible dans le titre
Quincaillerie;;DeWalt Ébrancheur 60 cm bypass;207,32;aucune reference lisible dans le titre
Quincaillerie;foret;Dewalt - Forets Béton Dewalt Grande Longueur Sds - Diamètre Mm: 22 G;210,99;aucune reference lisible dans le titre
Quincaillerie;lame-alternative;Jeu De Scies Cloches D'électricien Bim Dewalt 11 Pièces.;223,23;aucune reference lisible dans le titre
Quincaillerie;lame-alternative;DeWalt Lame supérieure 199314-3;236,71;aucune reference lisible dans le titre
Quincaillerie;coffret;DeWalt 4 Forets SDS-max et 2 Burins en Coffret (SDSMAXKIT-DE);239,98;aucune reference lisible dans le titre
Quincaillerie;;"Spachtel DeWalt 2-940; 101 6 cm";240,92;aucune reference lisible dans le titre
Quincaillerie;coffret;DeWalt ToughSystem DXL (15176);240,99;aucune reference lisible dans le titre
Quincaillerie;;DEWALT 341-tlg. Werkzeugset in 3 Modulen;268,82;aucune reference lisible dans le titre
Quincaillerie;burin;DEWALT - Perforateur-Burineur SDS-PLUS Brushless 2.6J 18V 4Ah Li-Ion - Sans Fil avec Coffret TSTAK & Jeu de 3 Burins SDS;279,57;aucune reference lisible dans le titre
Quincaillerie;accessoire;DEWALT PowerCoil ongles DNF Anneau 90 mm 2.7 KST.. s3116, 1 pièce, dnf31r90s316e;290,81;aucune reference lisible dans le titre
Quincaillerie;accessoire;Adaptateur SDS-Max - 400mm;325,12;aucune reference lisible dans le titre
Quincaillerie;;DEWALT dt6790 DEWALT DEWALT DEWALT 55 mm de forage Bit (55) dt6790-qz - Argent;381,05;aucune reference lisible dans le titre
Quincaillerie;foret;DEWALT percée Foret SDS-max 65 x 390 x 550 mm, dt6791 QZ;403,74;aucune reference lisible dans le titre
Quincaillerie;coffret;Dewalt rozszerzacz do rur pex dce400nt tstak;471,63;aucune reference lisible dans le titre
Quincaillerie;;Dewalt Dce6820n-Xj Jerricane De Camping 15 L;503,99;aucune reference lisible dans le titre
Quincaillerie;mobilier;DeWalt ToughSystem DXL Tower 4-in-1;616,90;aucune reference lisible dans le titre
Quincaillerie;lame-alternative;DEWALT Multi outil Lame de scie, 67 x 30 mm, 100 pièces, noir, dt20734b/qz;801,77;aucune reference lisible dans le titre
Quincaillerie;mobilier;DeWalt Toughsystem DXL Tower 5-in-1;822,00;aucune reference lisible dans le titre
Quincaillerie;lame-alternative;DEWALT Multi outil Lame de scie, 43 x 65 mm, 100 pièces, noir, dt20736b/qz;1392,14;aucune reference lisible dans le titre
Quincaillerie;lame-circulaire;DeWalt Multi-Outil Titan 55 x 44 mm 100 Pièces;1514,50;aucune reference lisible dans le titre
Électro portatif;chargeur;DEWALT Chargeur rapide sans fil;83,13;aucune reference lisible dans le titre
Électro portatif;chargeur;DEWALT Chargeur USB PD Mobile pour siège Avant et arrière;86,04;aucune reference lisible dans le titre
Électro portatif;sciage;Induit moteur n093107 pour Scie a onglets;86,61;aucune reference lisible dans le titre
Électro portatif;confort;DeWalt TS-SPEAKER;108,99;aucune reference lisible dans le titre
Électro portatif;percage;DeWALT Visseuse à réglage de couple et vitesse lente;114,25;aucune reference lisible dans le titre
Électro portatif;meulage;DEWALT Meuleuse Compacte avec Interrupteur à Palette, avec Système d'Éjection de la Poussière et Carter de Protection Ré;116,75;aucune reference lisible dans le titre
Électro portatif;chargeur;DEWALT Chargeur USB C 4 Ports 100W Haute Puissance, Station de Charge Multiport avec Répartition Intelligente, Câble EU ;116,99;aucune reference lisible dans le titre
Électro portatif;confort;DEWALT Enceinte Bluetooth Portable (Version Mise à Jour), Haut-Parleur Portable sans Fil à Clipser Jobsite Pro résistant;117,91;aucune reference lisible dans le titre
Électro portatif;;DeWalt Bluetooth® Tobsite Pro Max Neckband Earphones;123,25;aucune reference lisible dans le titre
Électro portatif;;DeWalt Enrouleur pneumatique 30 m;136,61;aucune reference lisible dans le titre
Électro portatif;batterie;Chargeur de Batterie de Chantier XR, 18V;137,60;aucune reference lisible dans le titre
Électro portatif;batterie;Dewalt batterie 18V Li-Ion 5,0 Ah;138,43;aucune reference lisible dans le titre
Électro portatif;;DEWALT Jobsite Écouteurs Ouverts très résistants Bluetooth 5.3 sans Fil avec 44 Heures d'autonomie, Son de qualité supér;145,99;aucune reference lisible dans le titre
Électro portatif;percage;DEWALT Perceuse à aspiration DEWALT SDS-max 24x400x600mm Quantité:1;147,98;aucune reference lisible dans le titre
Électro portatif;percage;Perceuse à percussion DEWALT dwd024Puissance 650W Professionnelle de travail;153,00;aucune reference lisible dans le titre
Électro portatif;bois;outil oscillant multi cutter 18v - dcs355n (solo);155,12;aucune reference lisible dans le titre
Électro portatif;bois;Dewalt outil oscillant multi cutter 18v - dcs355n (solo) G;172,98;aucune reference lisible dans le titre
Électro portatif;jardin;DeWalt Débroussailleuse sans Fil sans Balais;176,50;aucune reference lisible dans le titre
Électro portatif;aspiration;Aspirateur eau et poussière DeWalt 1 150W 23L 230V;179,99;aucune reference lisible dans le titre
Électro portatif;mesure;dw088k-xj niveau laser en croix (import allemagne);181,79;aucune reference lisible dans le titre
Électro portatif;percage;DEWALT Perceuse à aspiration DEWALT SDS-max 28x400x600mm Quantité:1;186,99;aucune reference lisible dans le titre
Électro portatif;batterie;DEWALT Extracteur universel de batteries DEWALT Quantité:1;195,99;aucune reference lisible dans le titre
Électro portatif;vissage-choc;Fixation de tige filetée pour visseuse à chocs DEWALT;199,90;aucune reference lisible dans le titre
Électro portatif;percage;DEWALT Dewalt Perceuse-visseuse sans fil 18 V, brushless, avec 2 batteries 1,5 Ah, set d’accessoires 39 pcs Quantité:1;201,99;aucune reference lisible dans le titre
Électro portatif;batterie;DeWalt Powerstack 18V 3,5 Ah;202,34;aucune reference lisible dans le titre
Électro portatif;;Écouteurs True Wireless DEWALT Pro-x2 ANC IP54 40h USB-C Jaune et Noir;204,47;aucune reference lisible dans le titre
Électro portatif;batterie;DeWalt Garden shears 38 mm incl. battery;215,35;aucune reference lisible dans le titre
Électro portatif;;Câble de charge DEWALT Type 2 32A 5 m 22 kW TPU IP65 jaune;215,93;aucune reference lisible dans le titre
Électro portatif;vissage-choc;Dewalt 18V Impact Driver Dcd709M1 65Nm 1X4.0Ah;217,80;aucune reference lisible dans le titre
Électro portatif;meulage;Dewalt Meuleuse d'angle 125/1400W Dwe46107 + Protecteur de coupe de béton;219,96;aucune reference lisible dans le titre
Électro portatif;;Câble de Charge Véhicule Électrique DEWALT 3.7kW Type 2 5m 32A 230V AC TPU;223,33;aucune reference lisible dans le titre
Électro portatif;percage;DEWALT Perceuse à aspiration DEWALT SDS-max 32x400x600mm Quantité:1;223,99;aucune reference lisible dans le titre
Électro portatif;perforation;DEWALT Perforateur-Burineur SDS-PLUS Brushless 2.6J 18V, Sans Fil avec Coffret TSTAK et Débrayage de Sécurité + DEWALT C;226,38;aucune reference lisible dans le titre
Électro portatif;jardin;DeWalt Ensemble sécateur;228,20;aucune reference lisible dans le titre
Électro portatif;jardin;DeWalt Sécateur 19,5 cm;239,21;aucune reference lisible dans le titre
Électro portatif;sciage;DeWalt (1x batterie 2 Ah sans chargeur + malette);240,25;aucune reference lisible dans le titre
Électro portatif;aspiration;Aspirateur Eau & Poussières Dxvp-qt - 960w, 34l, Silencieux - DEWALT - 101264;247,10;aucune reference lisible dans le titre
Électro portatif;chantier;Compresseur électrique DeWalt 6L 203V;249,99;aucune reference lisible dans le titre
Électro portatif;meulage;Dewalt Duo de meuleuses 125/230 mm;251,15;aucune reference lisible dans le titre
Électro portatif;meulage;"DEWALT Meuleuse d'angle électronique ""Le Béton 125 mm - 1500 W - 240 V & Coffret de 10 Disques Pour Meuleuse - Dimension";251,90;aucune reference lisible dans le titre
Électro portatif;batterie;Dewalt kit de batteries 18V 5,0Ah - lot de 2;258,28;aucune reference lisible dans le titre
Électro portatif;meulage;Meuleuse d'angle Dewalt 230/2200W avec pare-béton;258,49;aucune reference lisible dans le titre
Électro portatif;percage;DEWALT DEWALT Présentoir de comptoir Set de visseuses 12xDT71516M Quantité:1;258,99;aucune reference lisible dans le titre
Électro portatif;sciage;DeWalt D1 (1x batterie 2 Ah avec chargeur en mallette);259,53;aucune reference lisible dans le titre
Électro portatif;jardin;DeWalt Sécateur By-Pass 21,5 cm Noir;278,00;aucune reference lisible dans le titre
Électro portatif;;"Dewalt.grzechotka 12v 54nm 1/4"" 1x2,0ah dcf504d1";279,10;aucune reference lisible dans le titre
Électro portatif;jardin;DeWalt Sécateur 38 mm incl. batterie + chargeur;306,92;aucune reference lisible dans le titre
Électro portatif;batterie;Dewalt pack batteries XR Flexvolt + chargeur rapide;310,26;aucune reference lisible dans le titre
Électro portatif;meulage;DeWalt DIANA Branch shears 45mm Aluminium;313,46;aucune reference lisible dans le titre
Électro portatif;mesure;Laser autonivelant 360° - DeWalt - Ligne 360° - Faisceau croisé - Portée 10m - Précision +/- 4 mm à 10 m;318,04;aucune reference lisible dans le titre
Électro portatif;meulage;Dewalt Meuleuse d'Angle 125Mm 18V Dcg407M1T 1X4.0Ah Bl Tstak;326,31;aucune reference lisible dans le titre
Électro portatif;batterie;DeWalt Akku-Vakuum-Heber 18 V XR;326,32;aucune reference lisible dans le titre
Électro portatif;percage;Dewalt 18V Combo Drill + Impact Wrench Set Dck2060L2T (Dcd778+Dcf787) 2X3.0Ah Tstak Ii;326,99;aucune reference lisible dans le titre
Électro portatif;;Câble de Charge Véhicule Électrique DEWALT 22kW, Type 2, 5m TPU, 32A 380V AC;340,65;aucune reference lisible dans le titre
Électro portatif;chantier;Compresseur électrique DeWalt 50L 230V;349,99;aucune reference lisible dans le titre
Électro portatif;;DEWALT Dewalt Réservoir d'eau sans fil, 18 Volts, base Quantité:1;356,99;aucune reference lisible dans le titre
Électro portatif;chantier;DeWalt DXWDMMA 160 E - Poste à souder Inverter (MMA) - à courant continu (DC) + KIT;362,34;aucune reference lisible dans le titre
Électro portatif;sciage;Dewalt Scie circulaire plongeante 1300 w dewalt - dws520kt & Raccord de Rails de Guidage - Outillage Électroportatif - A;371,15;aucune reference lisible dans le titre
Électro portatif;batterie;Dewalt pack 2 batteries et chargeur XR Flexvolt;382,50;aucune reference lisible dans le titre
Électro portatif;;DeWALT Dcv580h 18/20 V Max sans fil 20 V sous vide;405,80;aucune reference lisible dans le titre
Électro portatif;percage;SDS-Max Tarière Ø55x550mm;415,97;aucune reference lisible dans le titre
Électro portatif;mesure;DeWalt - Laser Multilignes 3x360° 12V Li-Ion 2Ah - Niveau Laser Autonivelant 4° sans Fil avec Faisceaux Verts - Précisio;419,83;aucune reference lisible dans le titre
Électro portatif;mesure;DeWalt - Laser Multilignes 3x360° 12V Li-Ion 2Ah - Niveau Laser Autonivelant 4° sans Fil & STANLEY FATMAX Mètre à Ruban ;431,36;aucune reference lisible dans le titre
Électro portatif;mesure;DeWalt - Laser Multilignes 3x360° 12V Li-Ion 2Ah - Niveau Laser Autonivelant 4° sans Fil & Stanley 0-10-425 Cutter 25 mm;433,73;aucune reference lisible dans le titre
Électro portatif;mesure;DeWalt - Laser Multilignes 3x360° 12V Li-Ion 2Ah - Niveau Laser Autonivelant 4° sans Fil & Stanley FATMAX Cisaille Aviat;441,34;aucune reference lisible dans le titre
Électro portatif;percage;DeWalt 18V XR Brushless Twin Kit;446,08;aucune reference lisible dans le titre
Électro portatif;sciage;DeWalt Dewalt Scie à onglets XPS pour Coupe transversale;457,04;aucune reference lisible dans le titre
Électro portatif;chargeur;Chargeur Véhicule Électrique Portable DEWALT, 3.7kW, Type 2 + Prise Schuko, 7m Câble, 16A, 230V AC;457,25;aucune reference lisible dans le titre
Électro portatif;bois;DeWalt Défonceuse combinée batterie 18 V 55 mm incl. 1x batterie 4,0 Ah + 1x chargeur rapide;457,93;aucune reference lisible dans le titre
Électro portatif;combo;DEWALT Pack de 2 outils xr 18 V dcd791+dcf887 + 2 batteries 5Ah + chargeur + coffret T-stak;485,79;aucune reference lisible dans le titre
Électro portatif;meulage;Dewalt Meuleuse d'Angle 18V Dcg406P2Lrt Lame 125Mm 2X5.0Ah Tstak Lanyard Ready;495,15;aucune reference lisible dans le titre
Électro portatif;chantier;Compresseur électrique DeWalt 17L 230V;499,99;aucune reference lisible dans le titre
Électro portatif;;Dewalt zszywacz 18v 2x2,0ah dcn701d2;515,90;aucune reference lisible dans le titre
Électro portatif;bois;DeWalt - Laser Multilignes 3x360° 12V Li-Ion 2Ah - Niveau Laser Autonivelant 4° sans Fil avec Faisceaux Rouges & Outil O;543,84;aucune reference lisible dans le titre
Électro portatif;chantier;Borne de recharge murale véhicule électrique 7,4 kW - monophasée avec câble Type 2;683,14;aucune reference lisible dans le titre
Électro portatif;chantier;Compresseur électrique DeWalt 90L 230V;699,99;aucune reference lisible dans le titre
Électro portatif;chantier;Aiguille vibrante PS Diamètre 38mm - Longueur 2m DEWALT;724,90;aucune reference lisible dans le titre
Électro portatif;meulage;Dewalt Meuleuse d'Angle 125Mm 18V Dcg418Shdx2 2X9.0Ah Fv Blade Switch Tstak;805,99;aucune reference lisible dans le titre
Électro portatif;chantier;Aiguille vibrante PS Diamètre 59mm- Longueur 2m DEWALT;862,90;aucune reference lisible dans le titre
Électro portatif;percage;DeWalt Bâti de forage & collier de serrage;961,65;aucune reference lisible dans le titre
Électro portatif;percage;DeWalt Bâti de forage & collier de serrage (60 mm);961,65;aucune reference lisible dans le titre
Électro portatif;chantier;DeWalt DXWDTIG 210E - Poste à souder Inverter (TIG HF/LIFT, MMA) - courant continue (DC) - Mallette;1434,98;aucune reference lisible dans le titre
