Famille;Rayon;Référence;Titre;Prix idealo (€);Pack;Type;Voltage;Coffret;Ah;Nb outils;Nb batteries;Nb pièces;Édition limitée;Origine;Signal de classement;Clé de doublon;Niveau de clé;Variante;Doublons fusionnés;Réf. fiche du site;Prix actuel du site (€)
Électro portatif;jardin;N510599;OEM N510599 Poulie de rechange pour tondeuse à gazon DeWalt DCMW220X2 DCMW290H1 DCMW220P2;87,45;seul;tondeuse;;AUCUN;;;;;;sans-ref;famille:machine;REF:N510599|ACCESSOIRE;référence;ACCESSOIRE;1;;
Électro portatif;jardin;DCMASBC1N-XJ;DEWALT DCMASBC1N-XJ;87,58;pack;;;AUCUN;;;1;;;inconnu;famille:machine;REF:DCMASBC1|PACK;référence;PACK;1;;
Électro portatif;vissage-choc;DCF887NT;DeWALT DCF887NT-XJ — Visseuse à chocs 18V DCF887NT-XJ;87,59;seul;visseuse à chocs;;TSTAK;;;0;;;reconnu;famille:machine;REF:DCF887|OUTIL;référence;OUTIL;2;DCF887NT-XJ;184,60
Électro portatif;batterie;DCBP034;DEWALT DCBP034;88,44;pack;batterie;18;;1.7;;1;;;inconnu;famille:energie;REF:DCBP034|PACK;référence;PACK;7;;
Électro portatif;aspiration;AT-DXV20P;DEWALT AT-DXV20P;88,49;seul;aspirateur;;AUCUN;;;;;;inconnu;famille:machine;REF:AT-DXV20P|OUTIL;référence;OUTIL;1;;
Électro portatif;batterie;DCB107;DeWalt Power Set 1 x 18V 5,0 Ah + DCB107 (6143);90,00;pack;batterie;18;;5;;1;;;sans-ref;famille:energie;REF:DCB107|PACK;référence;PACK;3;;
Électro portatif;batterie;GDE1220MH;Batterie 12v 2ah ni-mh - AKKU POWER GMBH - DEWALT - GDE1220MH;90,14;pack;batterie;12;;2;;1;;;sans-ref;famille:energie;REF:GDE1220|PACK;référence;PACK;2;;
Électro portatif;vissage-choc;DWMT19241-1;"DeWalt Coffret 22 pièces douilles et clé à cliquet 1/2"" (DWMT19241-1)";90,77;pack;cliquet;;GENERIQUE;;;;;;sans-ref;famille:machine;REF:DWMT19241-1|PACK;référence;PACK;1;;
Électro portatif;chargeur;DCB094K-QW;DEWALT DCB094K-QW;90,90;pack;chargeur;;;;;;;;inconnu;famille:energie;REF:DCB094|PACK;référence;PACK;1;;
Électro portatif;mesure;DWHT0-43172;DEWALT DWHT0-43172;90,98;seul;niveau;;AUCUN;;;;;;inconnu;famille:machine;REF:DWHT0-43172|OUTIL;référence;OUTIL;1;;
Électro portatif;meulage;DWE4217;DEWALT DWE4217;91,09;seul;meuleuse d'angle;;AUCUN;;;;;;inconnu;famille:machine;REF:DWE4217|OUTIL;référence;OUTIL;2;;
Électro portatif;meulage;DWE4237-QS;DEWALT DWE4237-QS;91,22;seul;meuleuse d'angle;;AUCUN;;;;;;inconnu;famille:machine;REF:DWE4237|OUTIL;référence;OUTIL;3;;
Électro portatif;batterie;DCB1102D2-QW;Dewalt DCB1102D2-QW Pack 2 Batteries XR 18V - 2.0Ah Li-Ion + Chargeur;91,36;pack;batterie;18;;2;;2;;;sans-ref;famille:energie;REF:DCB1102|PACK;référence;PACK;5;;
Électro portatif;meulage;DWE4207-QS;DEWALT DWE4207-QS;91,50;seul;meuleuse d'angle;;AUCUN;;;;;;inconnu;famille:machine;REF:DWE4207|OUTIL;référence;OUTIL;2;;
Électro portatif;aspiration;DWH050-XJ;DEWALT DWH050-XJ;91,99;seul;système d'aspiration;;AUCUN;;;;;;inconnu;famille:machine;REF:DWH050|OUTIL;référence;OUTIL;1;;
Électro portatif;meulage;DWE4203;DEWALT DWE4203;92,40;seul;meuleuse d'angle;;AUCUN;;;;;;inconnu;famille:machine;REF:DWE4203|OUTIL;référence;OUTIL;1;;
Électro portatif;aspiration;AT-DXV20PC;DEWALT AT-DXV20PC;93,71;seul;aspirateur;;AUCUN;;;;;;inconnu;famille:machine;REF:AT-DXV20PC|OUTIL;référence;OUTIL;1;;
Électro portatif;perforation;DT60839-QZ;DEWALT Marteau perforateur DEWALT SDS-max 35x670x540 mm DT60839-QZ Quantité:1;93,99;seul;marteau perforateur;;AUCUN;;;;;;sans-ref;famille:machine;REF:DT60839|OUTIL;référence;OUTIL;1;;
Électro portatif;;DWE46225;DEWALT DWE46225;94,02;seul;;;AUCUN;;;;;;inconnu;famille:machine;REF:DWE46225|OUTIL;référence;OUTIL;1;;
Électro portatif;vissage-choc;DCF809NT;DEWALT DCF809NT;94,31;seul;visseuse à chocs;;TSTAK;5;;0;;;inconnu;famille:machine;REF:DCF809|OUTIL;référence;OUTIL;3;;
Électro portatif;meulage;D28011;DEWALT D28011;95,27;seul;meuleuse d'angle;;AUCUN;;;;;;inconnu;famille:machine;REF:D28011|OUTIL;référence;OUTIL;1;;
Électro portatif;percage;DCD708NT;DEWALT DCD708NT;95,36;seul;perceuse-visseuse;;TSTAK;;;0;;;inconnu;famille:machine;REF:DCD708|OUTIL;référence;OUTIL;3;;
Électro portatif;sciage;DCS3501;DEWALT DCS3501 Lot de matrices de découpe de rechange;96,22;pack;;;AUCUN;;;;;;sans-ref;famille:machine;REF:DCS3501|ACCESSOIRE;référence;ACCESSOIRE;1;;
Électro portatif;vissage-choc;DCF801N-XJ;DEWALT DCF801N-XJ;96,30;seul;visseuse à chocs;;AUCUN;;;0;;;inconnu;famille:machine;REF:DCF801|OUTIL;référence;OUTIL;2;;
Électro portatif;sciage;DT99593-QZ;DeWalt DT99593-QZ Lame de Scie Alligator HSS XR Extreme de 430 mm de longueur pour bois dur, 0 W, 0 V, Noir, 430 mm;96,47;seul;scie sabre;;AUCUN;;;;;;sans-ref;famille:machine;REF:DT99593|OUTIL;référence;OUTIL;1;;
Électro portatif;batterie;DWT2151643;DeWalt Telecoms Powerbank 2 ports 10000mAh (DWT2151643);96,79;pack;batterie;;;;;1;;;sans-ref;famille:energie;REF:DWT2151643|PACK;référence;PACK;1;;
Électro portatif;;DCF850;DEWALT DCF850 pilote d'impact pilote électrique 20V sans brosse sans fil 3250 tr/min tournevis outils à couple élevé out;96,99;seul;;20;AUCUN;;;;;;sans-ref;famille:machine;REF:DCF850|OUTIL;référence;OUTIL;7;;
Électro portatif;batterie;DCB183;Dewalt DCB183 Lot de 2 batteries XR 18 V 2,0 Ah pour DCD785, DCD985, DCF885, Dcs391, Dcs331;97,00;pack;batterie;18;;2;;2;2;;sans-ref;famille:energie;REF:DCB183|PACK;référence;PACK;2;;
Électro portatif;mesure;DE0892G;DeWALT DE0892G-XJ — Cellule de réception laser vert DE0892G-XJ;97,28;seul;niveau laser;;AUCUN;;;;;;reconnu;famille:machine;REF:DE0892|OUTIL;référence;OUTIL;1;DE0892G-XJ;187,06
Électro portatif;percage;DCD791N;DeWALT DCD791N — Perceuse-visseuse 18V DCD791N;97,36;seul;perceuse-visseuse;;AUCUN;;;0;;;reconnu;famille:machine;REF:DCD791|OUTIL;référence;OUTIL;6;DCD791N;302,84
Électro portatif;percage;DWD112S;DEWALT DWD112S;97,86;seul;perceuse à percussion;;AUCUN;;;;;;inconnu;famille:machine;REF:DWD112|OUTIL;référence;OUTIL;1;;
Électro portatif;batterie;DCB140;DEWALT DCB140;98,16;pack;batterie;4;;3;;1;;;inconnu;famille:energie;REF:DCB140|PACK;référence;PACK;1;;
Électro portatif;percage;DCD796NT;DeWALT DCD796NT-XJ — Perceuse visseuse à percussion 18V DCD796NT-XJ;98,28;seul;perceuse-visseuse;;TSTAK;;;0;;;reconnu;famille:machine;REF:DCD796|OUTIL;référence;OUTIL;7;DCD796NT-XJ;352,09
Électro portatif;percage;DWD024KS;DEWALT DWD024KS;98,88;seul;perceuse à percussion;;AUCUN;;;;;;inconnu;famille:machine;REF:DWD024|OUTIL;référence;OUTIL;3;;
Électro portatif;mesure;DCL077-XJ;DeWALT DCL077 — Projecteur de chantier DCL077;99,00;pack;projecteur;;AUCUN;;;1;;;reconnu;famille:machine;REF:DCL077|PACK;référence;PACK;8;DCL077;180,90
Électro portatif;;DCF601N;DEWALT DCF601N;99,67;seul;;;AUCUN;2;;0;;;inconnu;famille:machine;REF:DCF601|OUTIL;référence;OUTIL;2;;
Électro portatif;batterie;DCB115E2-QW;DeWalt 2 Batteries Powerstack XR 18V 1.7Ah ( DCB115E2-QW );99,90;pack;batterie;18;;1.7;;2;;;sans-ref;famille:energie;REF:DCB115|PACK;référence;PACK;8;;
Électro portatif;sciage;DWE5615-QS;DEWALT DWE5615-QS;99,90;seul;scie circulaire;;AUCUN;;;;;;inconnu;famille:machine;REF:DWE5615|OUTIL;référence;OUTIL;1;;
Électro portatif;chargeur;DCB116XR;Chargeur rapide DeWalt DCB 116 XR 12 V - 18 V Li-Ion 6 A;99,91;pack;chargeur;18;;;;;;;sans-ref;famille:energie;REF:DCB116|PACK;référence;PACK;1;;
Électro portatif;vissage-choc;DCF787N-SFXJ;Visseuse à choc sans fil brushless DeWalt DCF787N-SFXJ 18V Li-ion XR - Sans batterie;99,99;seul;visseuse à chocs;18;AUCUN;;;0;;;sans-ref;famille:machine;REF:DCF787|OUTIL;référence;OUTIL;1;;
Électro portatif;fixation;DPSB2IN1-XJ;DEWALT DPSB2IN1-XJ;100,08;seul;cloueur;;AUCUN;;;;;;inconnu;famille:machine;REF:DPSB2|OUTIL;référence;OUTIL;1;;
Électro portatif;batterie;DCBP318-XJ;DEWALT DCBP318-XJ;100,90;pack;batterie;18;;3.5;;1;;;inconnu;famille:energie;REF:DCBP318|PACK;référence;PACK;1;;
Électro portatif;combo;DW6184;DEWALT DW6184 Base fixe (pour routeur DW616/618);101,18;seul;pack d'outils;;AUCUN;;;;;;sans-ref;famille:machine;REF:DW6184|OUTIL;référence;OUTIL;2;;
Électro portatif;percage;DCDW101;DEWALT DCDW101;101,76;seul;;;AUCUN;;;;;;inconnu;famille:machine;REF:DCDW101|OUTIL;référence;OUTIL;1;;
Électro portatif;aspiration;DCV517N-XJ;DEWALT DCV517N-XJ;101,90;seul;aspirateur;;AUCUN;;;0;;;inconnu;famille:machine;REF:DCV517|OUTIL;référence;OUTIL;2;;
Électro portatif;vissage-choc;DCF85M;Perceuse et visseuse à chocs sans balais DEWALT DCF85M 20V | Outil électrique avec couple de 205 Nm, 0-3250 tr/min, mand;101,99;pack;visseuse à chocs;20;AUCUN;;;;;;sans-ref;famille:machine;REF:DCF85|PACK;référence;PACK;2;;
Électro portatif;mesure;DC528N;DeWalt DC 528N;102,10;seul;projecteur;;AUCUN;;;;;;sans-ref;famille:machine;REF:DC528|OUTIL;référence;OUTIL;1;;
Électro portatif;confort;DCR011;DeWALT DCR011-XJ — Enceinte bluetooth 18V DCR011-XJ;102,90;pack;radio de chantier;;AUCUN;;;;;;reconnu;famille:machine;REF:DCR011|PACK;référence;PACK;1;DCR011-XJ;178,36
Électro portatif;batterie;DCBP518;DEWALT DCBP518;103,20;pack;batterie;18;;5;;1;;;inconnu;famille:energie;REF:DCBP518|PACK;référence;PACK;5;;
Électro portatif;meulage;DWE4016D2;DEWALT DWE4016D2;103,63;pack;meuleuse d'angle;;AUCUN;2;;2;;;inconnu;famille:machine;REF:DWE4016|PACK;référence;PACK;1;;
Électro portatif;meulage;DWE4884-QS;DEWALT DWE4884-QS;103,79;seul;meuleuse droite;;AUCUN;;;;;;inconnu;famille:machine;REF:DWE4884|OUTIL;référence;OUTIL;1;;
Électro portatif;meulage;DWE4233;DEWALT DWE4233;104,55;seul;meuleuse d'angle;;AUCUN;;;;;;inconnu;famille:machine;REF:DWE4233|OUTIL;référence;OUTIL;2;;
Électro portatif;meulage;DWE4206-QS;DEWALT DWE4206-QS;104,60;seul;meuleuse d'angle;;AUCUN;;;;;;inconnu;famille:machine;REF:DWE4206|OUTIL;référence;OUTIL;2;;
Électro portatif;jardin;DCMHT520N-XJ;DEWALT DCMHT520N-XJ;104,90;seul;taille-haie;;AUCUN;;;0;;;inconnu;famille:machine;REF:DCMHT520|OUTIL;référence;OUTIL;1;;
Électro portatif;sciage;DCS355N-XJ;DeWALT DCS355N-XJ — Multicutter Outil multifonction DCS355N-XJ;105,99;seul;;;AUCUN;;;0;;;reconnu;famille:machine;REF:DCS355|OUTIL;référence;OUTIL;8;DCS355N-XJ;205,50
Électro portatif;;DXMA1902092;DeWalt Écouteurs True Wireless Bluetooth 37h IP56 Jaune (DXMA1902092);105,99;seul;;;;;;;;;sans-ref;titre;REF:DXMA1902092|OUTIL;référence;OUTIL;1;;
Électro portatif;vissage-choc;DCF809NT;DeWalt DCF 809 NT Visseuse à chocs sans fil 18 V Brushless Li-Ion + Coffret de transport T-STAK - sans batterie, sans ch;106,00;pack;visseuse à chocs;18;TSTAK;;;0;;;sans-ref;famille:machine;REF:DCF809|PACK;référence;PACK;26;;
Électro portatif;batterie;DCB112D2;Dewalt DCB112D2 Pack de batteries DEWALT 18V 2.0Ah Li-Ion - 2 batteries + Chargeur DCB112;106,52;pack;batterie;18;;2;;2;;;sans-ref;famille:energie;REF:DCB112|PACK;référence;PACK;1;;
Électro portatif;batterie;DCB203;DeWALT DCB203 Lithium-ION 2000mAh 20V Batterie Rechargeable - Batteries Rechargeables (2000 mAh, Lithium-ION (Li-ION), 2;106,70;pack;batterie;20;;;;20;;;sans-ref;famille:energie;REF:DCB203|PACK;référence;PACK;1;;
Électro portatif;bois;DWE6421K;"DEWALT DWE6421K Random Orbit Sander Kit, 5""";106,72;pack;ponceuse;;AUCUN;;;;;;sans-ref;famille:machine;REF:DWE6421|PACK;référence;PACK;1;;
Électro portatif;jardin;DCMASPS5N-XJ;DEWALT DCMASPS5N-XJ;107,10;seul;élagueuse sur perche;;AUCUN;;;0;;;inconnu;famille:machine;REF:DCMASPS5|OUTIL;référence;OUTIL;1;;
Électro portatif;perforation;D25033;DEWALT D25033;107,18;seul;perforateur;;AUCUN;;;;;;inconnu;famille:machine;REF:D25033|OUTIL;référence;OUTIL;2;;
Électro portatif;combo;DCE5801;DeWALT DCE5801 Couplage de tube transparent pour les canons chimiques XR DCE560 et DCE580;107,36;seul;pack d'outils;;AUCUN;;;;;;sans-ref;famille:machine;REF:DCE5801|ACCESSOIRE;référence;ACCESSOIRE;9;;
Électro portatif;bois;D26441;DEWALT D26441;107,80;seul;ponceuse;;AUCUN;;;;;;inconnu;famille:machine;REF:D26441|OUTIL;référence;OUTIL;1;;
Électro portatif;mesure;DW088CG;DeWALT DW088CG-XJ — Niveau laser croix DW088CG-XJ;108,00;seul;niveau laser;;AUCUN;;;;;;reconnu;famille:machine;REF:DW088|OUTIL;référence;OUTIL;8;DW088CG-XJ;413,52
Électro portatif;mesure;DW088CG;Dewalt - Niveau laser croix autonivelant DW088CG - Faisceau vert - Portée 30 m - Auto-nivellement - Précision +/-3mm@10m;108,00;pack;niveau laser;;AUCUN;;;;;;sans-ref;famille:machine;REF:DW088|PACK;référence;PACK;3;;
Électro portatif;mesure;DWHT77200;DEWALT DWHT77200;108,07;seul;télémètre laser;;AUCUN;;;;;;inconnu;famille:machine;REF:DWHT77200|OUTIL;référence;OUTIL;1;;
Électro portatif;percage;DCD794NT;DeWALT DCD794NT-XJ — Perceuse-visseuse 18V DCD794NT-XJ;108,18;seul;perceuse-visseuse;18;TSTAK;;;0;;;reconnu;famille:machine;REF:DCD794|OUTIL;référence;OUTIL;2;DCD794NT-XJ;202,98
Électro portatif;meulage;DWE492-QS;DEWALT DWE492-QS;108,25;seul;meuleuse d'angle;;AUCUN;;;;;;inconnu;famille:machine;REF:DWE492|OUTIL;référence;OUTIL;6;;
Électro portatif;percage;DCF840N;DeWalt DCF 840 N;108,85;seul;perceuse-visseuse;;AUCUN;;;;;;sans-ref;famille:machine;REF:DCF840|OUTIL;référence;OUTIL;11;;
Électro portatif;confort;;DeWalt TS-SPEAKER;108,99;seul;radio de chantier;;AUCUN;;;;;;sans-ref;famille:machine;TIT:ts speaker;titre;OUTIL;1;;
Électro portatif;mesure;DW099S-XJ;DEWALT DW099S-XJ;109,10;seul;télémètre laser;;AUCUN;;;;;;inconnu;famille:machine;REF:DW099|OUTIL;référence;OUTIL;1;;
Électro portatif;batterie;DCB546;DeWALT DCB546-XJ — Batterie XR 18V-54V 6Ah-2Ah Flexvolt DCB546-XJ;109,74;pack;batterie;54;;6;;1;;;reconnu;famille:energie;REF:DCB546|PACK;référence;PACK;4;DCB546-XJ;205,50
Électro portatif;meulage;DWE4227;DEWALT DWE4227;109,90;seul;meuleuse d'angle;;AUCUN;;;;;;inconnu;famille:machine;REF:DWE4227|OUTIL;référence;OUTIL;1;;
Électro portatif;meulage;DWE4156KD;DEWALT DWE4156KD;109,99;seul;meuleuse d'angle;;AUCUN;;;;;;inconnu;famille:machine;REF:DWE4156|OUTIL;référence;OUTIL;1;;
Électro portatif;bois;DCE555N-XJ;DeWALT DCE555N-XJ — Fraiseuse pour placo 18V DCE555N-XJ;111,33;seul;fraiseuse;;AUCUN;;;0;;;reconnu;famille:machine;REF:DCE555|OUTIL;référence;OUTIL;1;DCE555N-XJ;231,32
Électro portatif;fixation;DZN930;DEWALT DZN930;111,99;seul;cloueur;;AUCUN;;;;;;inconnu;famille:machine;REF:DZN930|OUTIL;référence;OUTIL;1;;
Électro portatif;sciage;DT90355-QZ;DeWalt Set de scies-cloches bimétallique Extreme pour plombier 11 pièces (DT90355-QZ);111,99;pack;scie;;AUCUN;;;;;;sans-ref;famille:machine;REF:DT90355|PACK;référence;PACK;1;;
Électro portatif;fixation;DPSSX38-XJ;DEWALT DPSSX38-XJ;112,00;seul;cloueur;;AUCUN;;;;;;inconnu;famille:machine;REF:DPSSX38|OUTIL;référence;OUTIL;1;;
Électro portatif;percage;DCD800NT-XJ;DeWALT DCD800NT-XJ — Perceuse-visseuse 18V DCD800NT-XJ;112,02;seul;perceuse-visseuse;;TSTAK;;;0;;;reconnu;famille:machine;REF:DCD800|OUTIL;référence;OUTIL;5;DCD800NT-XJ;401,42
