référence;verdict;composition confirmée (source web);concordance avec la lecture du parseur
DWK1103;CONFIRMÉE;11 machines+3x5,0+chariot (todotaladros);exacte
DWK1200;CONFIRMÉE;12 machines+3x5,0+chariot (Amazon.it/todotaladros);exacte
DWK1201;CONFIRMÉE;12 machines+3x5,0+chariot (Amazon.fr/todotaladros);exacte
DWK1202;CONFIRMÉE;12 machines+3x5,0+chariot (todotaladros/Amazon.fr);exacte
DWK1203;CONFIRMÉE;12 machines+3x5,0+chariot (ManoMano);exacte
FVK271X2-QW;CONFIRMÉE;DCH333+DCG414+2x9,0+DCB118+TSTAK II/VI (Amazon.nl/todotaladros);exacte
FVK381T2HD-QW;CONFIRMÉE;DCH333+DCD996+DCG418+2x6,0 (todotaladros);exacte
FVK381T3-QW;CONFIRMÉE;DCH333+DCD796+DCG418+3x6,0+DCB118+TSTAKs (todotaladros);EXACTE — refs de la tuile mot pour mot
FVK381T3HD-QW;CONFIRMÉE;DCH333+DCD996+DCG414/418+3x6,0 (todotaladros);exacte
FVK381TST2HD-QW;CONFIRMÉE;DCH333+DCD996+DCG414+2x6,0+DS450 (todotaladros);exacte
FVK381TST3HD-QW;CONFIRMÉE;DCH333+DCD996+DCG414+3x6,0+DS450 (Leroy Merlin/Bricomarché);exacte
FVK381TSX2HD-QW;CONFIRMÉE;DCH333+DCD996+DCG414+2x9,0+DS450 (todotaladros);exacte
FVK381X3HD-QW;CONFIRMÉE;DCH333+DCD996+DCG414+3x9,0+TSTAKs (ManoMano/Cdiscount);exacte
