ID;Calcul;Fichier;Lignes;Formule_exacte_recopiee_du_code;Entrees;Unites;Ou_le_resultat_est_utilise;Signalement
C-012;Marge reelle au prix courant du catalogue;api/_lib/pricing-model.js;242-257;var costHT = (opts.costHT != null) ? Number(opts.costHT) : Number(opts.costTTC || 0) / (1 + cfg.tvaFR), var priceHt = Number(opts.priceHt || 0), var markup = priceHt / costHT - 1, var r = evaluate(costHT, markup, s.ship, octroi, tvaDom, cfg, douaneFor(s.shipKind, cfg)),;opts.priceHt (catalogue live), opts.costHT/costTTC;EUROS (float);ecran admin marges (renderAdminMargins rows);markup deduit du prix actuel, pas du cout cible
C-013;round2 arrondi 2 decimales;api/_lib/pricing-model.js;125;return Math.round(n * 100) / 100,;n (euros float);EUROS (float, 2 decimales);tous les montants sortis de pricing-model;Meme helper redefini dans accounting.js, invoice.js, admin.bundle.js
C-014;Remise fidelite en cents;api/_lib/loyalty.js;52-64;var tier = tierForSpendEur(spendCents / 100), var discountCents = Math.round(totalCents * tier.discountPct / 100),;totalCents, tier.discountPct (0/2/5/8), spendCents;totalCents CENTIMES, spendCents CENTIMES/100 -> euros pour palier, discountCents CENTIMES entiers;create-payment-intent (amountCents = totalCents - discountCents), webhook ligne negative;Fail-open 0% si Firestore/uid absent
C-015;Somme depensee verifiee (paliers fidelite);api/_lib/loyalty.js;37-49;var a = doc.data().amountCents, if (typeof a === 'number' && isFinite(a) && a > 0) sum += a,;payments amountCents (status succeeded, uid);CENTIMES entiers;tierForSpendEur, quote;Somme brute des paiements succeeded (remboursements non deduits pour le palier)
C-016;Paliers fidelite (seuils euros / remise %);api/_lib/loyalty.js;19-24;{ key: 'bronze', min: 0, discountPct: 0 }, { argent, min: 500, discountPct: 2 }, { or, min: 2000, discountPct: 5 }, { platine, min: 5000, discountPct: 8 };spentEur;min = EUROS, discountPct = pourcentage entier;quote, affichage;Miroir de LOYALTY_TIERS app.js 669-674 (parite check-loyalty.js)
C-017;Expiration etiquette promo a la lecture;api/_lib/catalog.js;166-177;var DEUX_MOIS = 60 * 24 * 3600 * 1000, var debut = priceParse.enMillis(fusion.promoDepuis), fusion.promoActive = !!(debut > 0 && (Date.now() - debut) < DEUX_MOIS && Number(fusion.promoAncienPrix) > Number(fusion.price)),;fusion.promoDepuis, fusion.promoAncienPrix, fusion.price;prix en EUROS (comparaison), duree en ms;affichage promo (badge/prix barre), JSON catalogue;promoAncienPrix = prix le plus bas des 30 j precedents (reference J4), pas prix veille
C-018;Bareme IS reel (15% / 25%);api/_lib/accounting.js;30-37;if (benefice <= seuil) return benefice * tauxRed, return seuil * tauxRed + (benefice - seuil) * tauxNorm,;benefice, cfg.isSeuil=42500, cfg.isReduit=0.15, cfg.isNormal=0.25;EUROS (float);synthesize (is), resultat_net;-
C-019;Remboursements: HT et TVA depuis TTC;api/_lib/accounting.js;69-91;var ttc = Number(r && r.amountTtc) || 0, var tva = tvaFor(...), var ht = ttc / (1 + tva), var taxe = ttc - ht, if (r.avoirRef) t.tva += taxe, else t.tvaSansAvoir += taxe, t.cogsAnnule += Math.max(0, Number(r.cogsAnnuleHt) || 0),;r.amountTtc, r.territory, r.cogsAnnuleHt, r.avoirRef;EUROS (float);synthesize (CA -= remboursements, TVA -= avoir seulement);TVA recuperee UNIQUEMENT si avoirRef present, sinon tvaSansAvoir (reste due)
C-020;Abonnement Revolut: nombre de mois x mensuel;api/_lib/accounting.js;118-140;var nb = (b.getUTCFullYear() - a.getUTCFullYear()) * 12 + (b.getUTCMonth() - a.getUTCMonth()) + 1, return { mois: nb, mensuel: mensuel, total: round2(nb * mensuel), depuis: monthKey(debut) },;cfg.abonnementMensuel, cfg.abonnementDebutMs, recordedAtMs premier paiement, cfg.nowMs;mensuel EUROS, total EUROS round2, mois entier;synthesize (resultatExpl -= abo.total);Mois entame compte pour un mois plein (paie d'avance, pas prorata)
C-021;Compte de resultat (CA HT, marge, resultat, IS, marge nette %);api/_lib/accounting.js;145-285;var ht = ttc / (1 + tva), caTtc += ttc, caHt += ht, tvaCollectee += (ttc - ht), cogs += c2e(p.cogsHtCents), commission += c2e(p.stripeFeeCents), var margeBrute = caHt - cogs, var resultatExpl = margeBrute - commission - abo.total - chargesTotal, var baseIS = resultatExpl + dons, var is = Math.max(0, computeIS(baseIS, cfg) - reductionMecenat), var resultatNet = resultatExpl - is, marge_nette_pct: caHt > 0 ? round2(resultatNet / caHt * 100) : 0, panier_moyen: round2(caTtcBrut / succeeded.length), solde_a_reverser: round2(tvaCollectee - tvaDeductible),;payments amountCents/cogsHtCents/stripeFeeCents, charges, refunds, cfg;amountCents CENTIMES -> c2e euros. tout le reste EUROS (round2);ecran compta admin (comptaRenderAccounting);ttc HT deduit via tva territoriale. c2e(cents)=cents/100. panier_moyen sur CA BRUT (avant remboursements)
C-022;Plafond et reduction mecenat;api/_lib/accounting.js;206-209;var plafondMecenat = Math.max(20000, 0.005 * caHt), var donsEligibles = Math.min(dons, plafondMecenat), var reductionMecenat = 0.6 * donsEligibles,;dons (charges cat don/mecenat), caHt;EUROS (float);synthesize (is -= reductionMecenat), report_5_ans;Art 238 bis CGI: 60% du don plafonne a max(20000, 0.5% CA HT)
C-023;Ventes par marque (CA TTC/HT snapshot);api/_lib/accounting.js;300-317;var unit = Number(l && l.unitCents) || 0, var qty = Number(l && l.qty) || 1, if (!brand || unit <= 0) return, var ttc = c2e(unit) * qty, b.ca_ttc += ttc, b.ca_ht += ttc / (1 + tva),;linesDetail unitCents/qty/brand, tva territoriale;unitCents CENTIMES -> c2e euros, ca_ttc/ca_ht EUROS;objectif partenariat marque (admin), preuve volume;Lignes unit<=0 (remise fidelite negative) ignorees
C-024;Facture: HT depuis TTC par ligne + totaux;api/_lib/invoice.js;44-55;var unitTtc = (Number(l.unitCents) || 0) / 100, var unitHt = tvaRate ? unitTtc / (1 + tvaRate) : unitTtc, var lineHt = round2(unitHt * qty), var lineTtc = round2(unitTtc * qty), totalHt += lineHt, totalTtc += lineTtc, var totalTva = round2(totalTtc - totalHt),;linesDetail unitCents/qty, tvaRate (0 si franchise), territoire;unitCents CENTIMES -> euros. totaux EUROS round2;facture HTML (admin apercu, email webhook);TVA affichee = Math.round(tvaRate*1000)/10. en franchise tvaRate=0 donc HT=TTC
C-025;Barriere achat: fourchette de prix fournisseur;api/_lib/barriere-achat.js;41-99;prixMinEuros: 50, prixMaxEuros: 50000. if (prix != null && s.prixMinEuros != null && prix < s.prixMinEuros) retenu=false. if (prix != null && s.prixMaxEuros != null && prix > s.prixMaxEuros) retenu=false;o.prix (annonce fournisseur), seuils;EUROS;selection des sources de cout (cout retenu = min des sources valables);Ecarter a tort remonte le cout donc le prix de vente (J4)
C-026;Bareme livraison course (zone/prix par distance);api/_lib/courses.js;27-79;BAREME [{zone:1,maxKm:10,prix:22},{2,22,48},{3,34,74},{4,46,100}]. const km = haversineKm(DEPOT, {lat,lng}), const z = BAREME.find((b) => km <= b.maxKm), return { km: Math.round(km * 10) / 10, zone: z.zone, prix: z.prix },;lat, lng (recalcules serveur), DEPOT Sainte-Anne;km float arrondi 0.1, prix EUROS entier;create-payment-intent (frais livraison), webhook createFromIntent;Prix course reverse 100% au livreur (zero benefice plateforme)
C-027;Distance haversine;api/_lib/courses.js;65-69;const R = 6371, dLat = (b.lat - a.lat) * Math.PI / 180, dLng = (b.lng - a.lng) * Math.PI / 180, const s = Math.sin(dLat / 2) ** 2 + Math.cos(a.lat * Math.PI / 180) * Math.cos(b.lat * Math.PI / 180) * Math.sin(dLng / 2) ** 2, return 2 * R * Math.asin(Math.sqrt(s)),;a.lat/lng, b.lat/lng, R=6371km;kilometres (float);quote() selection zone/prix;-
C-028;Course: prix et repartition marchandise/livraison;api/_lib/courses.js;298-300;prix: Math.round(feeCents / 100), feeCents, productsCents: Math.max(0, (pi.amount || 0) - feeCents), amountCents: pi.amount || 0;md.courseFeeCents, pi.amount;feeCents/amountCents CENTIMES, prix EUROS entier;doc courses/, email confirmToClient;productsCents = total debite moins frais livreur
C-029;Prix produit + coffret et total panier (serveur, montant debite);api/create-payment-intent.js;185-215;var unit = pricing.unitCents(product, territory) + (coffret ? pricing.coffretSurchargeCents(product) : 0), totalCents += unit * qty, var amountCents = totalCents - loyaltyQuote.discountCents, var deliveryCents = courseQuote ? courseQuote.prix * 100 : 0, amountCents += deliveryCents,;product, territory, coffret, loyaltyQuote.discountCents, courseQuote.prix;unit/totalCents/amountCents/deliveryCents CENTIMES entiers;montant debite (PaymentIntent), metadata serverTotalEur/grossTotalEur;Remise AVANT frais livraison (remise porte sur produits seuls). si amountCents<50 remise tronquee
C-030;Metadata montants euros affiches;api/create-payment-intent.js;286-287;serverTotalEur: (amountCents / 100).toFixed(2), grossTotalEur: (totalCents / 100).toFixed(2);amountCents, totalCents;CENTIMES -> chaine EUROS 2 decimales;metadata fournisseur paiement, reconciliation;-
C-031;Webhook: reconstruction lignes + COGS + integrite;api/webhook.js;790-830;var unit = pricing.unitCents(product, territory || pricing.DEFAULT_TERRITORY) + (coffret ? pricing.coffretSurchargeCents(product) : 0), sum += unit * qty, cogsHtCents += Math.round(productCostHt(product) * 100) * qty, sum -= discountCents, sum += courseFeeCents, if (pi.amount != null && sum !== pi.amount) fallback,;metadata items, catalogue, discountCents, courseFeeCents, pi.amount;unit/sum/cogsHtCents/discountCents/courseFeeCents CENTIMES entiers;journal payments (cogsHtCents, linesDetail), email, facture;Controle d'integrite: somme doit valoir pi.amount sinon ligne unique. cogs arrondi par unite puis x qty
C-032;Cout d'achat HT reel d'un produit (COGS);api/webhook.js;840-849;if (product.priceSrcTTC > 0) return product.priceSrcTTC / 1.20, if (product.priceMarkup > 0) return ph / (1 + product.priceMarkup), return ph > 0 ? ph / 1.15 : 0,;product.priceSrcTTC, product.price_ht (ph), product.priceMarkup;EUROS (float);cogsHtCents (compta), marge brute;Repli x1.15 (division par 1.15) si pas de cout releve - estimation, pas mesure
C-033;Formatage montant email (cents->euros);api/webhook.js;1057-1062;const val = (cents / 100).toFixed(2).replace('.', ','),;cents;CENTIMES -> chaine EUROS;emails de commande;-
C-034;Facture dans email: totaux HT/TVA;api/webhook.js;960-961;'Total HT : ' + formatAmount(Math.round(invData.totalHt * 100), currency) + (invData.franchise ? '' : ' TVA (' + (Math.round(invData.tvaRate * 1000) / 10) + ' %) : ' + formatAmount(Math.round(invData.totalTva * 100), currency));invData.totalHt, invData.tvaRate, invData.totalTva (euros de invoice.js);euros round -> cents pour formatAmount;email client;totalHt/totalTva reconvertis euros->cents pour reutiliser formatAmount
C-035;formatPrice affichage (euros virgule);app.js;97-99;return Number(n).toFixed(2).replace('.', ',') + ' €',;n (euros float);EUROS -> chaine;tout l'affichage prix client;-
C-036;calcPrice client (miroir moteur TTC);app.js;178-195;var ht = Number(product.price_ht != null ? product.price_ht : (product.price / (1 + (product.vat || 0.2)))), var afterOctroi = ht * (1 + r.octroiExterne + r.octroiRegional), var octroi = afterOctroi - ht, var ttc = afterOctroi * (1 + r.tva), var tva = ttc - afterOctroi,;product.price_ht/price/vat, taxRatesFor;EUROS (float);affichage prix, payUnitCents, WhatsApp devis;Doit rester byte-for-byte identique a pricing.js C-001 (parite check-pricing.js) sinon affiche != debite
C-037;Tables de taux TVA/octroi client + selection NC;app.js;109-176;TERRITORIES tvaRate 0.085/0.0, octroiExterne, octroiRegional. TAX_RULES_BY_NC[nc][code]. return { tva: t.tvaRate, octroiExterne: override ? override.octroiExterne : t.octroiExterne, octroiRegional: override ? override.octroiRegional : t.octroiRegional };product.ncCategory, territoryCode;taux fractions (float);calcPrice client;Duplique pricing.js 15-67 (parite requise)
C-038;Prix local concurrent (economie affichee);app.js;320-330;var real = LOCAL_PRICES[product.id] || Number(product.localPrice) || 0, if (real > 0) return real, var ht = ..., return ht * 1.60,;product.id, product.localPrice, price_ht;EUROS (float);affichage economie vs concurrence;Repli x1.60 est une ESTIMATION (marge+taxes+transport typiques) presentee a cote de prix reels releves
C-039;Remise fidelite cote client (devis);app.js;706-720;var discount = (currentCartTotal || 0) * (tier.discountPct / 100), discountedTotal: (currentCartTotal || 0) - discount;currentCartTotal (euros), tier.discountPct;EUROS (float);pied de devis / affichage remise;Affichage seul - le montant debite recalcule serveur (loyalty.js C-014, en cents)
C-040;Cumul depense fidelite (localStorage);app.js;723-728;state.totalSpent = (state.totalSpent || 0) + amount,;amount (euros);EUROS (float);palier affiche cote client;localStorage falsifiable - palier debitable recalcule serveur depuis payments
C-041;Badge promo pourcentage;app.js;1443-1448;var pct = (ref > 0 && prix > 0 && ref > prix) ? Math.round((1 - prix / ref) * 100) : 0,;p.promoAncienPrix (ref), p.price (prix);EUROS en entree -> pourcentage entier;badge -X% sur vignette;-
C-042;Surcout coffret client (cents);app.js;10617-10621;return Math.round((coffretGros(p) ? COFFRET_SURCH.gros : COFFRET_SURCH.petit) * 100),;coffretGros(p), COFFRET_SURCH.petit=15, gros=25;EUROS -> CENTIMES entiers;payUnitCents, waCartMessage;Miroir pricing.js C-004
C-043;Prix unitaire et total panier (cents, client);app.js;10659-10671;var ttc = p ? calcPrice(p, _currentTerritory).ttc : (Number(it && it.price) || 0), var cents = Math.round(ttc * 100), if (it && it.coffret && p) cents += coffretSurchargeCents(p), return s + payUnitCents(it) * (it.qty || 1),;items, calcPrice().ttc, coffret;ttc euros float -> cents entiers. total CENTIMES;total affiche modale paiement (_cryptoTotalEur = /100);Arrondi par unite (meme logique que serveur)
C-044;Total devis WhatsApp;app.js;756-767;var unit = p ? calcPrice(p, t.code).ttc : Number(item.price) || 0, if (item.coffret && p) unit += coffretSurchargeCents(p) / 100, var sub = unit * qty, total += sub,;items, calcPrice().ttc, coffret;EUROS (float);message WhatsApp devis;coffretSurchargeCents (cents) /100 pour repasser en euros
C-045;Affichage taux octroi combine;app.js;16852;var oex = ((t.octroiExterne + t.octroiRegional) * 100).toFixed(1).replace('.', ','),;t.octroiExterne, t.octroiRegional;taux -> pourcentage 1 decimale;affichage detail taxes territoire;-
C-046;Compta admin: arrondi affichage euros;admin.bundle.js;851-856;return (Math.round((Number(n) || 0) * 100) / 100).toLocaleString('fr-FR', { minimumFractionDigits: 2, maximumFractionDigits: 2 }) + ' €',;n (euros, deja round2 serveur);EUROS;tableau compte de resultat admin;Re-arrondi d'un montant deja arrondi serveur (round2) - risque double arrondi cosmetique
C-047;Compta admin: marge brute mensuelle affichee;admin.bundle.js;888;eur(m.ca_ht - m.cogs);m.ca_ht, m.cogs (euros serveur);EUROS;ligne par mois;-
C-048;Objectif partenariat marque (progression %);admin.bundle.js;903-910;var pct = target > 0 ? Math.min(100, Math.round(val / target * 100)) : 0,;found.ca_ttc (val), BRAND_TARGETS DeWALT=10000;val EUROS, target EUROS -> pourcentage entier plafonne 100;barre de progression objectif marque;-
C-049;Config compta: taux fraction -> pourcentage affiche;admin.bundle.js;939-942;var pct = function (v) { return Math.round((Number(v) || 0) * 1000) / 10, }, value=pct(cfg.targetNet), pct(cfg.is), pct(cfg.commissionPct != null ? cfg.commissionPct : cfg.stripePct);cfg.targetNet, cfg.is, cfg.commissionPct/stripePct;fraction -> pourcentage 1 decimale;formulaire config tarification;Repli stripePct si commissionPct absent (deux noms de commission)
C-050;Apercu prix admin (affichage resultat serveur);admin.bundle.js;976;r.ttc.toFixed(0) ... r.priceHt.toFixed(2) ... Math.round(r.markup * 100) ... r.costHT.toFixed(2) ... r.octroiPaid.toFixed(2) ... r.netAfterIS.toFixed(2) ... Math.round(r.marginAfterIS * 100);r (resultat price-preview de pricing-model);EUROS (affichage), markup/marginAfterIS fraction->%;ecran tester un prix;Affichage seul, calcul reel serveur (C-009/C-011)
C-051;Marges admin: arrondis euros et pourcentage;admin.bundle.js;1117-1139;eur: Math.round((Number(n)||0)*100)/100 minFrac 0. eur2: idem minFrac 2. pctf: (Number(n)||0) minFrac 1 + ' %'. Math.round((cfg.targetNet || 0.15) * 100);s.avgMarginPct, r.marginPct, r.netEur, r.costTTC, r.ttc971, cfg.targetNet;EUROS / pourcentage (valeurs calculees serveur admin.js);tableau marges par produit;marginPct/netEur/ttc971 calcules serveur (marginAt), ici affichage seul
